ParticipantID,Valeur,Item,Condition,PresenceConnecteur,TypeQuestion
1,4,21,Fallacieux,oui,Proportion
1,4,21,Fallacieux,oui,Decoulement
1,1,21,Fallacieux,oui,AccordA
1,6,21,Fallacieux,oui,AccordB
1,4,22,Fallacieux,non,Proportion
1,6,22,Fallacieux,non,Decoulement
1,5,22,Fallacieux,non,AccordA
1,5,22,Fallacieux,non,AccordB
1,4,23,NonFallacieux,oui,Proportion
1,5,23,NonFallacieux,oui,Decoulement
1,5,23,NonFallacieux,oui,AccordA
1,6,23,NonFallacieux,oui,AccordB
1,5,24,NonFallacieux,non,Proportion
1,5,24,NonFallacieux,non,Decoulement
1,6,24,NonFallacieux,non,AccordA
1,5,24,NonFallacieux,non,AccordB
1,3,25,Fallacieux,oui,Proportion
1,4,25,Fallacieux,oui,Decoulement
1,3,25,Fallacieux,oui,AccordA
1,6,25,Fallacieux,oui,AccordB
1,5,26,Fallacieux,non,Proportion
1,5,26,Fallacieux,non,Decoulement
1,4,26,Fallacieux,non,AccordA
1,5,26,Fallacieux,non,AccordB
1,3,27,NonFallacieux,oui,Proportion
1,4,27,NonFallacieux,oui,Decoulement
1,5,27,NonFallacieux,oui,AccordA
1,5,27,NonFallacieux,oui,AccordB
1,3,28,NonFallacieux,non,Proportion
1,3,28,NonFallacieux,non,Decoulement
1,5,28,NonFallacieux,non,AccordA
1,5,28,NonFallacieux,non,AccordB
1,2,29,Fallacieux,oui,Proportion
1,4,29,Fallacieux,oui,Decoulement
1,4,29,Fallacieux,oui,AccordA
1,6,29,Fallacieux,oui,AccordB
1,3,30,Fallacieux,non,Proportion
1,5,30,Fallacieux,non,Decoulement
1,3,30,Fallacieux,non,AccordA
1,6,30,Fallacieux,non,AccordB
1,2,31,NonFallacieux,oui,Proportion
1,4,31,NonFallacieux,oui,Decoulement
1,3,31,NonFallacieux,oui,AccordA
1,4,31,NonFallacieux,oui,AccordB
1,4,32,NonFallacieux,non,Proportion
1,5,32,NonFallacieux,non,Decoulement
1,6,32,NonFallacieux,non,AccordA
1,6,32,NonFallacieux,non,AccordB
1,4,33,Fallacieux,oui,Proportion
1,4,33,Fallacieux,oui,Decoulement
1,5,33,Fallacieux,oui,AccordA
1,6,33,Fallacieux,oui,AccordB
1,2,34,Fallacieux,non,Proportion
1,4,34,Fallacieux,non,Decoulement
1,4,34,Fallacieux,non,AccordA
1,5,34,Fallacieux,non,AccordB
1,5,35,NonFallacieux,oui,Proportion
1,6,35,NonFallacieux,oui,Decoulement
1,6,35,NonFallacieux,oui,AccordA
1,6,35,NonFallacieux,oui,AccordB
1,3,36,NonFallacieux,non,Proportion
1,3,36,NonFallacieux,non,Decoulement
1,6,36,NonFallacieux,non,AccordA
1,6,36,NonFallacieux,non,AccordB
1,4,37,Fallacieux,oui,Proportion
1,4,37,Fallacieux,oui,Decoulement
1,4,37,Fallacieux,oui,AccordA
1,5,37,Fallacieux,oui,AccordB
1,3,38,Fallacieux,non,Proportion
1,5,38,Fallacieux,non,Decoulement
1,3,38,Fallacieux,non,AccordA
1,4,38,Fallacieux,non,AccordB
1,3,39,NonFallacieux,oui,Proportion
1,4,39,NonFallacieux,oui,Decoulement
1,4,39,NonFallacieux,oui,AccordA
1,4,39,NonFallacieux,oui,AccordB
1,4,40,NonFallacieux,non,Proportion
1,5,40,NonFallacieux,non,Decoulement
1,4,40,NonFallacieux,non,AccordA
1,5,40,NonFallacieux,non,AccordB
2,4,1,Fallacieux,oui,Proportion
2,3,1,Fallacieux,oui,Decoulement
2,5,1,Fallacieux,oui,AccordA
2,5,1,Fallacieux,oui,AccordB
2,5,2,Fallacieux,non,Proportion
2,3,2,Fallacieux,non,Decoulement
2,3,2,Fallacieux,non,AccordA
2,5,2,Fallacieux,non,AccordB
2,4,3,NonFallacieux,oui,Proportion
2,3,3,NonFallacieux,oui,Decoulement
2,4,3,NonFallacieux,oui,AccordA
2,3,3,NonFallacieux,oui,AccordB
2,7,4,NonFallacieux,non,Proportion
2,3,4,NonFallacieux,non,Decoulement
2,6,4,NonFallacieux,non,AccordA
2,6,4,NonFallacieux,non,AccordB
2,2,5,Fallacieux,oui,Proportion
2,4,5,Fallacieux,oui,Decoulement
2,6,5,Fallacieux,oui,AccordA
2,2,5,Fallacieux,oui,AccordB
2,4,6,Fallacieux,non,Proportion
2,4,6,Fallacieux,non,Decoulement
2,5,6,Fallacieux,non,AccordA
2,4,6,Fallacieux,non,AccordB
2,3,7,NonFallacieux,oui,Proportion
2,3,7,NonFallacieux,oui,Decoulement
2,4,7,NonFallacieux,oui,AccordA
2,3,7,NonFallacieux,oui,AccordB
2,5,8,NonFallacieux,non,Proportion
2,5,8,NonFallacieux,non,Decoulement
2,4,8,NonFallacieux,non,AccordA
2,6,8,NonFallacieux,non,AccordB
2,5,9,Fallacieux,oui,Proportion
2,5,9,Fallacieux,oui,Decoulement
2,6,9,Fallacieux,oui,AccordA
2,6,9,Fallacieux,oui,AccordB
2,5,10,Fallacieux,non,Proportion
2,5,10,Fallacieux,non,Decoulement
2,5,10,Fallacieux,non,AccordA
2,4,10,Fallacieux,non,AccordB
2,5,11,NonFallacieux,oui,Proportion
2,5,11,NonFallacieux,oui,Decoulement
2,4,11,NonFallacieux,oui,AccordA
2,4,11,NonFallacieux,oui,AccordB
2,5,12,NonFallacieux,non,Proportion
2,5,12,NonFallacieux,non,Decoulement
2,5,12,NonFallacieux,non,AccordA
2,5,12,NonFallacieux,non,AccordB
2,1,13,Fallacieux,oui,Proportion
2,2,13,Fallacieux,oui,Decoulement
2,4,13,Fallacieux,oui,AccordA
2,4,13,Fallacieux,oui,AccordB
2,4,14,Fallacieux,non,Proportion
2,4,14,Fallacieux,non,Decoulement
2,4,14,Fallacieux,non,AccordA
2,2,14,Fallacieux,non,AccordB
2,5,15,NonFallacieux,oui,Proportion
2,5,15,NonFallacieux,oui,Decoulement
2,5,15,NonFallacieux,oui,AccordA
2,1,15,NonFallacieux,oui,AccordB
2,6,16,NonFallacieux,non,Proportion
2,6,16,NonFallacieux,non,Decoulement
2,6,16,NonFallacieux,non,AccordA
2,6,16,NonFallacieux,non,AccordB
2,4,17,Fallacieux,oui,Proportion
2,4,17,Fallacieux,oui,Decoulement
2,1,17,Fallacieux,oui,AccordA
2,6,17,Fallacieux,oui,AccordB
2,3,18,Fallacieux,non,Proportion
2,4,18,Fallacieux,non,Decoulement
2,4,18,Fallacieux,non,AccordA
2,6,18,Fallacieux,non,AccordB
2,5,19,NonFallacieux,oui,Proportion
2,5,19,NonFallacieux,oui,Decoulement
2,5,19,NonFallacieux,oui,AccordA
2,5,19,NonFallacieux,oui,AccordB
2,6,20,NonFallacieux,non,Proportion
2,6,20,NonFallacieux,non,Decoulement
2,6,20,NonFallacieux,non,AccordA
2,6,20,NonFallacieux,non,AccordB
2,6,21,Fallacieux,oui,Proportion
2,5,21,Fallacieux,oui,Decoulement
2,6,21,Fallacieux,oui,AccordA
2,6,21,Fallacieux,oui,AccordB
2,5,22,Fallacieux,non,Proportion
2,5,22,Fallacieux,non,Decoulement
2,5,22,Fallacieux,non,AccordA
2,5,22,Fallacieux,non,AccordB
2,1,23,NonFallacieux,oui,Proportion
2,1,23,NonFallacieux,oui,Decoulement
2,1,23,NonFallacieux,oui,AccordA
2,6,23,NonFallacieux,oui,AccordB
2,6,24,NonFallacieux,non,Proportion
2,6,24,NonFallacieux,non,Decoulement
2,6,24,NonFallacieux,non,AccordA
2,6,24,NonFallacieux,non,AccordB
2,4,25,Fallacieux,oui,Proportion
2,4,25,Fallacieux,oui,Decoulement
2,4,25,Fallacieux,oui,AccordA
2,3,25,Fallacieux,oui,AccordB
2,7,26,Fallacieux,non,Proportion
2,7,26,Fallacieux,non,Decoulement
2,7,26,Fallacieux,non,AccordA
2,7,26,Fallacieux,non,AccordB
2,6,27,NonFallacieux,oui,Proportion
2,4,27,NonFallacieux,oui,Decoulement
2,6,27,NonFallacieux,oui,AccordA
2,5,27,NonFallacieux,oui,AccordB
2,4,28,NonFallacieux,non,Proportion
2,3,28,NonFallacieux,non,Decoulement
2,4,28,NonFallacieux,non,AccordA
2,6,28,NonFallacieux,non,AccordB
2,4,29,Fallacieux,oui,Proportion
2,3,29,Fallacieux,oui,Decoulement
2,3,29,Fallacieux,oui,AccordA
2,4,29,Fallacieux,oui,AccordB
2,5,30,Fallacieux,non,Proportion
2,5,30,Fallacieux,non,Decoulement
2,3,30,Fallacieux,non,AccordA
2,5,30,Fallacieux,non,AccordB
2,4,31,NonFallacieux,oui,Proportion
2,4,31,NonFallacieux,oui,Decoulement
2,7,31,NonFallacieux,oui,AccordA
2,3,31,NonFallacieux,oui,AccordB
2,5,32,NonFallacieux,non,Proportion
2,5,32,NonFallacieux,non,Decoulement
2,5,32,NonFallacieux,non,AccordA
2,5,32,NonFallacieux,non,AccordB
2,3,33,Fallacieux,oui,Proportion
2,2,33,Fallacieux,oui,Decoulement
2,2,33,Fallacieux,oui,AccordA
2,3,33,Fallacieux,oui,AccordB
2,7,34,Fallacieux,non,Proportion
2,7,34,Fallacieux,non,Decoulement
2,7,34,Fallacieux,non,AccordA
2,7,34,Fallacieux,non,AccordB
2,4,35,NonFallacieux,oui,Proportion
2,2,35,NonFallacieux,oui,Decoulement
2,2,35,NonFallacieux,oui,AccordA
2,2,35,NonFallacieux,oui,AccordB
2,4,36,NonFallacieux,non,Proportion
2,4,36,NonFallacieux,non,Decoulement
2,2,36,NonFallacieux,non,AccordA
2,3,36,NonFallacieux,non,AccordB
2,2,37,Fallacieux,oui,Proportion
2,3,37,Fallacieux,oui,Decoulement
2,3,37,Fallacieux,oui,AccordA
2,3,37,Fallacieux,oui,AccordB
2,3,38,Fallacieux,non,Proportion
2,3,38,Fallacieux,non,Decoulement
2,3,38,Fallacieux,non,AccordA
2,3,38,Fallacieux,non,AccordB
2,5,39,NonFallacieux,oui,Proportion
2,5,39,NonFallacieux,oui,Decoulement
2,5,39,NonFallacieux,oui,AccordA
2,5,39,NonFallacieux,oui,AccordB
2,4,40,NonFallacieux,non,Proportion
2,4,40,NonFallacieux,non,Decoulement
2,5,40,NonFallacieux,non,AccordA
2,3,40,NonFallacieux,non,AccordB
3,3,1,Fallacieux,oui,Proportion
3,2,1,Fallacieux,oui,Decoulement
3,5,1,Fallacieux,oui,AccordA
3,2,1,Fallacieux,oui,AccordB
3,3,2,Fallacieux,non,Proportion
3,3,2,Fallacieux,non,Decoulement
3,3,2,Fallacieux,non,AccordA
3,5,2,Fallacieux,non,AccordB
3,5,3,NonFallacieux,oui,Proportion
3,3,3,NonFallacieux,oui,Decoulement
3,5,3,NonFallacieux,oui,AccordA
3,5,3,NonFallacieux,oui,AccordB
3,5,4,NonFallacieux,non,Proportion
3,6,4,NonFallacieux,non,Decoulement
3,6,4,NonFallacieux,non,AccordA
3,6,4,NonFallacieux,non,AccordB
3,5,5,Fallacieux,oui,Proportion
3,5,5,Fallacieux,oui,Decoulement
3,6,5,Fallacieux,oui,AccordA
3,5,5,Fallacieux,oui,AccordB
3,6,6,Fallacieux,non,Proportion
3,6,6,Fallacieux,non,Decoulement
3,4,6,Fallacieux,non,AccordA
3,4,6,Fallacieux,non,AccordB
3,4,7,NonFallacieux,oui,Proportion
3,4,7,NonFallacieux,oui,Decoulement
3,2,7,NonFallacieux,oui,AccordA
3,3,7,NonFallacieux,oui,AccordB
3,3,8,NonFallacieux,non,Proportion
3,3,8,NonFallacieux,non,Decoulement
3,4,8,NonFallacieux,non,AccordA
3,5,8,NonFallacieux,non,AccordB
3,5,9,Fallacieux,oui,Proportion
3,4,9,Fallacieux,oui,Decoulement
3,4,9,Fallacieux,oui,AccordA
3,6,9,Fallacieux,oui,AccordB
3,4,10,Fallacieux,non,Proportion
3,4,10,Fallacieux,non,Decoulement
3,5,10,Fallacieux,non,AccordA
3,6,10,Fallacieux,non,AccordB
3,5,11,NonFallacieux,oui,Proportion
3,5,11,NonFallacieux,oui,Decoulement
3,5,11,NonFallacieux,oui,AccordA
3,5,11,NonFallacieux,oui,AccordB
3,3,12,NonFallacieux,non,Proportion
3,4,12,NonFallacieux,non,Decoulement
3,2,12,NonFallacieux,non,AccordA
3,4,12,NonFallacieux,non,AccordB
3,2,13,Fallacieux,oui,Proportion
3,3,13,Fallacieux,oui,Decoulement
3,2,13,Fallacieux,oui,AccordA
3,5,13,Fallacieux,oui,AccordB
3,4,14,Fallacieux,non,Proportion
3,4,14,Fallacieux,non,Decoulement
3,5,14,Fallacieux,non,AccordA
3,5,14,Fallacieux,non,AccordB
3,4,15,NonFallacieux,oui,Proportion
3,4,15,NonFallacieux,oui,Decoulement
3,2,15,NonFallacieux,oui,AccordA
3,2,15,NonFallacieux,oui,AccordB
3,5,16,NonFallacieux,non,Proportion
3,5,16,NonFallacieux,non,Decoulement
3,6,16,NonFallacieux,non,AccordA
3,6,16,NonFallacieux,non,AccordB
3,4,17,Fallacieux,oui,Proportion
3,3,17,Fallacieux,oui,Decoulement
3,5,17,Fallacieux,oui,AccordA
3,4,17,Fallacieux,oui,AccordB
3,3,18,Fallacieux,non,Proportion
3,4,18,Fallacieux,non,Decoulement
3,3,18,Fallacieux,non,AccordA
3,5,18,Fallacieux,non,AccordB
3,3,19,NonFallacieux,oui,Proportion
3,4,19,NonFallacieux,oui,Decoulement
3,3,19,NonFallacieux,oui,AccordA
3,3,19,NonFallacieux,oui,AccordB
3,4,20,NonFallacieux,non,Proportion
3,4,20,NonFallacieux,non,Decoulement
3,5,20,NonFallacieux,non,AccordA
3,4,20,NonFallacieux,non,AccordB
3,4,21,Fallacieux,oui,Proportion
3,4,21,Fallacieux,oui,Decoulement
3,5,21,Fallacieux,oui,AccordA
3,5,21,Fallacieux,oui,AccordB
3,5,22,Fallacieux,non,Proportion
3,5,22,Fallacieux,non,Decoulement
3,5,22,Fallacieux,non,AccordA
3,5,22,Fallacieux,non,AccordB
3,4,23,NonFallacieux,oui,Proportion
3,3,23,NonFallacieux,oui,Decoulement
3,2,23,NonFallacieux,oui,AccordA
3,5,23,NonFallacieux,oui,AccordB
3,4,24,NonFallacieux,non,Proportion
3,5,24,NonFallacieux,non,Decoulement
3,5,24,NonFallacieux,non,AccordA
3,5,24,NonFallacieux,non,AccordB
3,3,25,Fallacieux,oui,Proportion
3,4,25,Fallacieux,oui,Decoulement
3,2,25,Fallacieux,oui,AccordA
3,2,25,Fallacieux,oui,AccordB
3,4,26,Fallacieux,non,Proportion
3,4,26,Fallacieux,non,Decoulement
3,5,26,Fallacieux,non,AccordA
3,3,26,Fallacieux,non,AccordB
3,4,27,NonFallacieux,oui,Proportion
3,2,27,NonFallacieux,oui,Decoulement
3,5,27,NonFallacieux,oui,AccordA
3,5,27,NonFallacieux,oui,AccordB
3,4,28,NonFallacieux,non,Proportion
3,5,28,NonFallacieux,non,Decoulement
3,5,28,NonFallacieux,non,AccordA
3,5,28,NonFallacieux,non,AccordB
3,3,29,Fallacieux,oui,Proportion
3,3,29,Fallacieux,oui,Decoulement
3,2,29,Fallacieux,oui,AccordA
3,5,29,Fallacieux,oui,AccordB
3,3,30,Fallacieux,non,Proportion
3,3,30,Fallacieux,non,Decoulement
3,2,30,Fallacieux,non,AccordA
3,5,30,Fallacieux,non,AccordB
3,4,31,NonFallacieux,oui,Proportion
3,3,31,NonFallacieux,oui,Decoulement
3,2,31,NonFallacieux,oui,AccordA
3,3,31,NonFallacieux,oui,AccordB
3,4,32,NonFallacieux,non,Proportion
3,5,32,NonFallacieux,non,Decoulement
3,5,32,NonFallacieux,non,AccordA
3,5,32,NonFallacieux,non,AccordB
3,2,33,Fallacieux,oui,Proportion
3,3,33,Fallacieux,oui,Decoulement
3,2,33,Fallacieux,oui,AccordA
3,6,33,Fallacieux,oui,AccordB
3,2,34,Fallacieux,non,Proportion
3,4,34,Fallacieux,non,Decoulement
3,2,34,Fallacieux,non,AccordA
3,4,34,Fallacieux,non,AccordB
3,4,35,NonFallacieux,oui,Proportion
3,4,35,NonFallacieux,oui,Decoulement
3,5,35,NonFallacieux,oui,AccordA
3,6,35,NonFallacieux,oui,AccordB
3,4,36,NonFallacieux,non,Proportion
3,4,36,NonFallacieux,non,Decoulement
3,5,36,NonFallacieux,non,AccordA
3,5,36,NonFallacieux,non,AccordB
3,4,37,Fallacieux,oui,Proportion
3,4,37,Fallacieux,oui,Decoulement
3,5,37,Fallacieux,oui,AccordA
3,5,37,Fallacieux,oui,AccordB
3,3,38,Fallacieux,non,Proportion
3,4,38,Fallacieux,non,Decoulement
3,3,38,Fallacieux,non,AccordA
3,5,38,Fallacieux,non,AccordB
3,4,39,NonFallacieux,oui,Proportion
3,4,39,NonFallacieux,oui,Decoulement
3,5,39,NonFallacieux,oui,AccordA
3,5,39,NonFallacieux,oui,AccordB
3,4,40,NonFallacieux,non,Proportion
3,4,40,NonFallacieux,non,Decoulement
3,5,40,NonFallacieux,non,AccordA
3,5,40,NonFallacieux,non,AccordB
4,3,1,Fallacieux,oui,Proportion
4,4,1,Fallacieux,oui,Decoulement
4,3,1,Fallacieux,oui,AccordA
4,4,1,Fallacieux,oui,AccordB
4,3,2,Fallacieux,non,Proportion
4,2,2,Fallacieux,non,Decoulement
4,2,2,Fallacieux,non,AccordA
4,4,2,Fallacieux,non,AccordB
4,5,3,NonFallacieux,oui,Proportion
4,2,3,NonFallacieux,oui,Decoulement
4,5,3,NonFallacieux,oui,AccordA
4,5,3,NonFallacieux,oui,AccordB
4,5,4,NonFallacieux,non,Proportion
4,5,4,NonFallacieux,non,Decoulement
4,5,4,NonFallacieux,non,AccordA
4,5,4,NonFallacieux,non,AccordB
4,5,5,Fallacieux,oui,Proportion
4,5,5,Fallacieux,oui,Decoulement
4,5,5,Fallacieux,oui,AccordA
4,4,5,Fallacieux,oui,AccordB
4,3,6,Fallacieux,non,Proportion
4,5,6,Fallacieux,non,Decoulement
4,4,6,Fallacieux,non,AccordA
4,4,6,Fallacieux,non,AccordB
4,4,7,NonFallacieux,oui,Proportion
4,4,7,NonFallacieux,oui,Decoulement
4,4,7,NonFallacieux,oui,AccordA
4,4,7,NonFallacieux,oui,AccordB
4,5,8,NonFallacieux,non,Proportion
4,5,8,NonFallacieux,non,Decoulement
4,5,8,NonFallacieux,non,AccordA
4,5,8,NonFallacieux,non,AccordB
4,4,9,Fallacieux,oui,Proportion
4,5,9,Fallacieux,oui,Decoulement
4,3,9,Fallacieux,oui,AccordA
4,5,9,Fallacieux,oui,AccordB
4,4,10,Fallacieux,non,Proportion
4,3,10,Fallacieux,non,Decoulement
4,4,10,Fallacieux,non,AccordA
4,5,10,Fallacieux,non,AccordB
4,4,11,NonFallacieux,oui,Proportion
4,4,11,NonFallacieux,oui,Decoulement
4,4,11,NonFallacieux,oui,AccordA
4,3,11,NonFallacieux,oui,AccordB
4,4,12,NonFallacieux,non,Proportion
4,3,12,NonFallacieux,non,Decoulement
4,3,12,NonFallacieux,non,AccordA
4,4,12,NonFallacieux,non,AccordB
4,3,13,Fallacieux,oui,Proportion
4,4,13,Fallacieux,oui,Decoulement
4,3,13,Fallacieux,oui,AccordA
4,4,13,Fallacieux,oui,AccordB
4,4,14,Fallacieux,non,Proportion
4,4,14,Fallacieux,non,Decoulement
4,4,14,Fallacieux,non,AccordA
4,4,14,Fallacieux,non,AccordB
4,4,15,NonFallacieux,oui,Proportion
4,4,15,NonFallacieux,oui,Decoulement
4,4,15,NonFallacieux,oui,AccordA
4,4,15,NonFallacieux,oui,AccordB
4,4,16,NonFallacieux,non,Proportion
4,4,16,NonFallacieux,non,Decoulement
4,4,16,NonFallacieux,non,AccordA
4,4,16,NonFallacieux,non,AccordB
4,4,17,Fallacieux,oui,Proportion
4,4,17,Fallacieux,oui,Decoulement
4,3,17,Fallacieux,oui,AccordA
4,4,17,Fallacieux,oui,AccordB
4,4,18,Fallacieux,non,Proportion
4,4,18,Fallacieux,non,Decoulement
4,4,18,Fallacieux,non,AccordA
4,4,18,Fallacieux,non,AccordB
4,4,19,NonFallacieux,oui,Proportion
4,4,19,NonFallacieux,oui,Decoulement
4,4,19,NonFallacieux,oui,AccordA
4,4,19,NonFallacieux,oui,AccordB
4,4,20,NonFallacieux,non,Proportion
4,4,20,NonFallacieux,non,Decoulement
4,4,20,NonFallacieux,non,AccordA
4,2,20,NonFallacieux,non,AccordB
4,4,21,Fallacieux,oui,Proportion
4,4,21,Fallacieux,oui,Decoulement
4,4,21,Fallacieux,oui,AccordA
4,4,21,Fallacieux,oui,AccordB
4,4,22,Fallacieux,non,Proportion
4,4,22,Fallacieux,non,Decoulement
4,4,22,Fallacieux,non,AccordA
4,4,22,Fallacieux,non,AccordB
4,4,23,NonFallacieux,oui,Proportion
4,4,23,NonFallacieux,oui,Decoulement
4,4,23,NonFallacieux,oui,AccordA
4,4,23,NonFallacieux,oui,AccordB
4,4,24,NonFallacieux,non,Proportion
4,4,24,NonFallacieux,non,Decoulement
4,4,24,NonFallacieux,non,AccordA
4,4,24,NonFallacieux,non,AccordB
4,4,25,Fallacieux,oui,Proportion
4,4,25,Fallacieux,oui,Decoulement
4,2,25,Fallacieux,oui,AccordA
4,4,25,Fallacieux,oui,AccordB
4,4,26,Fallacieux,non,Proportion
4,4,26,Fallacieux,non,Decoulement
4,3,26,Fallacieux,non,AccordA
4,3,26,Fallacieux,non,AccordB
4,4,27,NonFallacieux,oui,Proportion
4,4,27,NonFallacieux,oui,Decoulement
4,4,27,NonFallacieux,oui,AccordA
4,4,27,NonFallacieux,oui,AccordB
4,4,28,NonFallacieux,non,Proportion
4,4,28,NonFallacieux,non,Decoulement
4,4,28,NonFallacieux,non,AccordA
4,4,28,NonFallacieux,non,AccordB
4,4,29,Fallacieux,oui,Proportion
4,4,29,Fallacieux,oui,Decoulement
4,4,29,Fallacieux,oui,AccordA
4,4,29,Fallacieux,oui,AccordB
4,4,30,Fallacieux,non,Proportion
4,4,30,Fallacieux,non,Decoulement
4,3,30,Fallacieux,non,AccordA
4,3,30,Fallacieux,non,AccordB
4,4,31,NonFallacieux,oui,Proportion
4,4,31,NonFallacieux,oui,Decoulement
4,4,31,NonFallacieux,oui,AccordA
4,4,31,NonFallacieux,oui,AccordB
4,4,32,NonFallacieux,non,Proportion
4,4,32,NonFallacieux,non,Decoulement
4,4,32,NonFallacieux,non,AccordA
4,4,32,NonFallacieux,non,AccordB
4,4,33,Fallacieux,oui,Proportion
4,4,33,Fallacieux,oui,Decoulement
4,4,33,Fallacieux,oui,AccordA
4,4,33,Fallacieux,oui,AccordB
4,4,34,Fallacieux,non,Proportion
4,4,34,Fallacieux,non,Decoulement
4,3,34,Fallacieux,non,AccordA
4,3,34,Fallacieux,non,AccordB
4,4,35,NonFallacieux,oui,Proportion
4,4,35,NonFallacieux,oui,Decoulement
4,4,35,NonFallacieux,oui,AccordA
4,3,35,NonFallacieux,oui,AccordB
4,4,36,NonFallacieux,non,Proportion
4,4,36,NonFallacieux,non,Decoulement
4,4,36,NonFallacieux,non,AccordA
4,5,36,NonFallacieux,non,AccordB
4,4,37,Fallacieux,oui,Proportion
4,4,37,Fallacieux,oui,Decoulement
4,4,37,Fallacieux,oui,AccordA
4,4,37,Fallacieux,oui,AccordB
4,4,38,Fallacieux,non,Proportion
4,4,38,Fallacieux,non,Decoulement
4,3,38,Fallacieux,non,AccordA
4,3,38,Fallacieux,non,AccordB
4,4,39,NonFallacieux,oui,Proportion
4,4,39,NonFallacieux,oui,Decoulement
4,3,39,NonFallacieux,oui,AccordA
4,3,39,NonFallacieux,oui,AccordB
4,4,40,NonFallacieux,non,Proportion
4,4,40,NonFallacieux,non,Decoulement
4,4,40,NonFallacieux,non,AccordA
4,3,40,NonFallacieux,non,AccordB
5,5,1,Fallacieux,oui,Proportion
5,2,1,Fallacieux,oui,Decoulement
5,6,1,Fallacieux,oui,AccordA
5,6,1,Fallacieux,oui,AccordB
5,6,2,Fallacieux,non,Proportion
5,6,2,Fallacieux,non,Decoulement
5,4,2,Fallacieux,non,AccordA
5,4,2,Fallacieux,non,AccordB
5,5,3,NonFallacieux,oui,Proportion
5,5,3,NonFallacieux,oui,Decoulement
5,3,3,NonFallacieux,oui,AccordA
5,3,3,NonFallacieux,oui,AccordB
5,6,4,NonFallacieux,non,Proportion
5,6,4,NonFallacieux,non,Decoulement
5,4,4,NonFallacieux,non,AccordA
